"contrib/highlighter/src/java/org/apache/lucene/search/highlight/QueryTermExtractor#getIdfWeightedTerms(Query,IndexReader,String).mjava",1,0,4,3,4,0.10526315867900848,2,1,0,2,2,1,11,11,5.5,0,0,0.0,11,11,5.5,0,0,0,0
src/java/org/apache/lucene/index/IndexReader#commit().mjava,1,4,6,0,0,0.08695652335882187,4,3,10,3,1,1,9,9,9.0,0,0,0.0,9,9,9.0,0,0,1,0
src/java/org/apache/lucene/document/Field#stringValue().mjava,0,11,0,0,0,0.0,1,0,1,0,3,3,6,4,2.0,5,4,1.6666666269302368,1,3,0.3333333432674408,0,0,0,0
"src/java/org/apache/lucene/util/BitVector#BitVector(Directory,String).mjava",1,0,5,2,1,0.3636363744735718,1,0,0,1,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
"contrib/spellchecker/src/java/org/apache/lucene/search/spell/SpellChecker#add(BooleanQuery,String,String,float).mjava",0,0,2,4,1,0.0,1,0,0,0,2,2,3,3,1.5,0,0,0.0,3,3,1.5,0,0,0,0
src/java/org/apache/lucene/document/Document#toString().mjava,0,0,9,0,2,0.0,3,2,0,2,2,2,14,10,7.0,3,3,1.5,11,10,5.5,0,1,0,0
contrib/memory/src/java/org/apache/lucene/index/memory/MemoryIndex.MemoryIndexReader#getInfo(int).mjava,0,0,1,1,0,0.0,1,0,1,0,2,2,2,1,1.0,0,0,0.0,2,1,1.0,0,0,0,0
"src/java/org/apache/lucene/util/BitVector#write(Directory,String).mjava",1,0,7,2,1,0.30000001192092896,1,0,0,1,1,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
src/java/org/apache/lucene/search/Query#setBoost(float).mjava,0,0,0,1,0,0.0,1,0,1,0,1,1,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0,0
src/java/org/apache/lucene/queryParser/FastCharStream#GetSuffix(int).mjava,0,0,1,1,1,0.0,1,0,0,0,1,1,3,3,3.0,0,0,0.0,3,3,3.0,0,0,0,0
